"game_id","player","team","seconds","plus.minus","adj.plus.minus"
"0021700269","Aron Baynes","BOS",1318,-3,-6.55538694992413
"0021700281","Aron Baynes","BOS",1437,3,6.0125260960334
"0021700292","Aron Baynes","BOS",761,5,18.9224704336399
"0021700314","Aron Baynes","BOS",827,2,6.96493349455865
"0021700326","Aron Baynes","BOS",1062,15,40.6779661016949
"0021700343","Aron Baynes","BOS",909,8,25.3465346534653
"0021700356","Aron Baynes","BOS",608,14,66.3157894736842
"0021700374","Aron Baynes","BOS",794,3,10.8816120906801
"0021700386","Aron Baynes","BOS",1599,16,28.8180112570356
"0021700391","Aron Baynes","BOS",995,-7,-20.2613065326633
"0021700407","Aron Baynes","BOS",1694,-10,-17.0011806375443
"0021700423","Aron Baynes","BOS",964,-8,-23.9004149377593
"0021700436","Aron Baynes","BOS",1662,12,20.7942238267148
"0021700442","Aron Baynes","BOS",1304,7,15.4601226993865
"0021700456","Aron Baynes","BOS",1012,8,22.7667984189723
"0021700468","Aron Baynes","BOS",1346,0,0
"0021700485","Aron Baynes","BOS",866,17,56.5357967667437
"0021700495","Aron Baynes","BOS",574,-11,-55.191637630662
"0021700506","Aron Baynes","BOS",1539,-2,-3.74269005847953
"0021700517","Aron Baynes","BOS",759,3,11.3833992094862
"0021700539","Aron Baynes","BOS",1370,13,27.3284671532847
"0021700559","Aron Baynes","BOS",982,13,38.1262729124236
"0021700570","Aron Baynes","BOS",1592,7,12.6633165829146
"0021700579","Aron Baynes","BOS",1211,-2,-4.75639966969447
"0021700614","Aron Baynes","BOS",875,-6,-19.7485714285714
"0021700650","Aron Baynes","BOS",1148,0,0
"0021700663","Aron Baynes","BOS",919,-8,-25.0707290533188
"0021700683","Aron Baynes","BOS",293,-8,-78.6348122866894
"0021700700","Aron Baynes","BOS",636,-7,-31.6981132075472
"0021700709","Aron Baynes","BOS",1483,4,7.76803776129467
"0021700728","Aron Baynes","BOS",963,-6,-17.9439252336449
"0021700743","Aron Baynes","BOS",1042,-5,-13.8195777351248
"0021700758","Aron Baynes","BOS",1366,11,23.1918008784773
"0021700767","Aron Baynes","BOS",1416,26,52.8813559322034
"0021700784","Aron Baynes","BOS",1260,-4,-9.14285714285714
"0021700798","Aron Baynes","BOS",1202,-7,-16.7720465890183
