"game_type","game_id","away_team","home_team"
"season","0021700529","LAC","LAL"
"season","0021700530","SAS","DET"
"season","0021700531","MIA","ORL"
"season","0021700532","NYK","NOP"
"season","0021700533","POR","ATL"
"season","0021700534","CLE","UTA"
"season","0021700535","MEM","GSW"
"season","0021700536","PHI","DEN"
"season","0021700537","CHI","WAS"
"season","0021700538","MIN","IND"
"season","0021700539","BKN","BOS"
"season","0021700540","LAL","HOU"
"season","0021700541","DAL","OKC"
"season","0021700542","CHA","LAC"
"season","0021700543","MEM","SAC"
"season","0021700544","PHI","PHX"
"season","0021700545","ORL","BKN"
"season","0021700546","MIL","TOR"
"season","0021700547","POR","CHI"
"season","0021700548","LAL","MIN"
"season","0021700549","POR","CLE"
"season","0021700550","SAS","NYK"
"season","0021700551","ATL","PHX"
"season","0021700552","CHA","SAC"
"season","0021700553","MEM","LAC"
"season","0021700554","HOU","ORL"
"season","0021700555","SAS","PHI"
"season","0021700556","NYK","WAS"
"season","0021700557","MIN","BKN"
"season","0021700558","DET","MIA"
"season","0021700559","CLE","BOS"
"season","0021700560","TOR","CHI"
"season","0021700561","IND","MIL"
"season","0021700562","GSW","DAL"
"season","0021700563","PHX","DEN"
"season","0021700564","NOP","UTA"
"season","0021700565","OKC","LAL"
"season","0021700566","GSW","HOU"
"season","0021700567","OKC","LAC"
"season","0021700568","NYK","MIA"
"season","0021700569","DET","PHI"
"season","0021700570","MIN","BOS"
"season","0021700571","TOR","MIL"
"season","0021700572","CHI","DAL"
"season","0021700573","PHX","SAS"
"season","0021700574","UTA","DEN"
"season","0021700575","WAS","MEM"
"season","0021700576","ATL","POR"
"season","0021700577","CHA","LAL"
"season","0021700578","GSW","LAC"
"season","0021700579","BOS","BKN"
"season","0021700580","HOU","DET"
"season","0021700581","CHI","IND"
"season","0021700582","CLE","ORL"
"season","0021700583","MIL","WAS"
"season","0021700584","NOP","MIN"
"season","0021700585","DEN","SAC"
"season","0021700586","UTA","MIA"
"season","0021700587","NYK","DAL"
"season","0021700588","OKC","PHX"
"season","0021700589","SAS","POR"
"season","0021700590","ATL","LAL"
"season","0021700591","MIL","IND"
"season","0021700592","TOR","BKN"
"season","0021700593","HOU","CHI"
"season","0021700594","CLE","MIN"
"season","0021700595","DET","NOP"
"season","0021700596","SAS","SAC"
"season","0021700597","DEN","GSW"
"season","0021700598","ATL","LAC"
"season","0021700599","MIA","TOR"
"season","0021700600","POR","OKC"
"season","0021700601","ORL","DAL"
"season","0021700602","SAC","LAL"
"season","0021700603","DAL","CHA"
"season","0021700604","MIA","IND"
"season","0021700605","UTA","WAS"
"season","0021700606","DET","BKN"
"season","0021700607","CHI","NYK"
"season","0021700608","POR","HOU"
"season","0021700609","NOP","MEM"
"season","0021700610","ORL","MIL"
"season","0021700611","OKC","MIN"
"season","0021700612","ATL","DEN"
"season","0021700613","LAC","GSW"
"season","0021700614","BOS","PHI"
"season","0021700615","CLE","TOR"
"season","0021700616","LAC","SAC"
"season","0021700617","SAS","LAL"
"season","0021700618","UTA","CHA"
"season","0021700619","CLE","IND"
"season","0021700620","ORL","WAS"
"season","0021700621","BKN","ATL"
"season","0021700622","GSW","MIL"
"season","0021700623","NYK","MIN"
"season","0021700624","POR","NOP"
"season","0021700625","MEM","DEN"
"season","0021700626","HOU","PHX"
"season","0021700627","LAL","DAL"
"season","0021700628","SAC","LAC"
"season","0021700629","OKC","CHA"
"season","0021700630","BKN","WAS"
"season","0021700631","GSW","TOR"
"season","0021700632","DET","CHI"
"season","0021700633","DEN","SAS"
"season","0021700634","MIL","MIA"
"season","0021700635","NOP","NYK"
"season","0021700636","IND","PHX"
"season","0021700637","POR","MIN"
"season","0021700638","CHA","DET"
"season","0021700639","TOR","PHI"
"season","0021700640","MIL","WAS"
"season","0021700641","SAS","ATL"
"season","0021700642","NYK","BKN"
"season","0021700643","SAC","OKC"
"season","0021700644","MIA","CHI"
"season","0021700645","LAL","MEM"
"season","0021700646","GSW","CLE"
"season","0021700647","IND","UTA"
"season","0021700648","HOU","LAC"
"season","0021700649","MIN","ORL"
"season","0021700650","NOP","BOS"
"season","0021700651","DAL","DEN"
"season","0021700652","PHX","POR"
"season","0021700653","WAS","CHA"
"season","0021700654","NOP","ATL"
"season","0021700655","SAS","BKN"
"season","0021700656","DET","TOR"
"season","0021700657","GSW","CHI"
"season","0021700658","NYK","MEM"
"season","0021700659","MIA","MIL"
"season","0021700660","LAL","OKC"
"season","0021700661","UTA","SAC"
"season","0021700662","DEN","LAC"
"season","0021700663","PHI","BOS"
"season","0021700664","ORL","CLE"
"season","0021700665","MIN","HOU"
"season","0021700666","IND","POR"
"season","0021700667","SAS","TOR"
"season","0021700668","MIA","BKN"
"season","0021700669","WAS","DET"
"season","0021700670","SAC","MEM"
"season","0021700671","PHX","DEN"
"season","0021700672","NYK","UTA"
"season","0021700673","IND","LAL"
"season","0021700674","OKC","CLE"
"season","0021700675","CHI","ATL"
"season","0021700676","MIA","CHA"
"season","0021700677","MEM","NOP"
"season","0021700678","MIL","PHI"
"season","0021700679","GSW","HOU"
"season","0021700680","TOR","MIN"
"season","0021700681","LAC","UTA"
"season","0021700682","DAL","POR"
"season","0021700683","ORL","BOS"
"season","0021700684","NYK","LAL"
"season","0021700685","BKN","DET"
"season","0021700686","IND","SAS"
"season","0021700687","SAC","CHA"
"season","0021700688","UTA","ATL"
"season","0021700689","MIA","HOU"
"season","0021700690","PHI","MEM"
"season","0021700691","PHX","MIL"
"season","0021700692","CHI","NOP"
"season","0021700693","WAS","DAL"
"season","0021700694","POR","DEN"
"season","0021700695","MIN","LAC"
"season","0021700696","SAC","ORL"
"season","0021700697","BKN","OKC"
"season","0021700698","CLE","SAS"
"season","0021700699","NYK","GSW"
"season","0021700700","BOS","LAL"
"season","0021700701","NOP","CHA"
"season","0021700702","UTA","DET"
"season","0021700703","PHX","IND"
"season","0021700704","CHI","PHI"
"season","0021700705","TOR","ATL"
"season","0021700706","HOU","DAL"
"season","0021700707","SAS","MEM"
"season","0021700708","MIN","POR"
"season","0021700709","BOS","LAC"
"season","0021700710","SAC","MIA"
"season","0021700711","WAS","OKC"
"season","0021700712","NYK","DEN"
"season","0021700713","MIN","GSW"
"season","0021700714","ATL","CHA"
"season","0021700715","IND","CLE"
"season","0021700716","UTA","TOR"
"season","0021700717","LAL","CHI"
"season","0021700718","LAC","MEM"
"season","0021700719","BKN","MIL"
"season","0021700720","HOU","NOP"
"season","0021700721","POR","DAL"
"season","0021700722","PHI","SAS"
"season","0021700723","NYK","PHX"
"season","0021700724","OKC","DET"
"season","0021700725","ORL","IND"
"season","0021700726","WAS","ATL"
"season","0021700727","CHA","MIA"
"season","0021700728","BOS","GSW"
"season","0021700729","BKN","MIN"
"season","0021700730","DAL","DEN"
"season","0021700731","MIL","CHI"
"season","0021700732","PHX","HOU"
"season","0021700733","LAC","NOP"
"season","0021700734","DET","CLE"
"season","0021700735","LAL","TOR"
"season","0021700736","PHI","OKC"
"season","0021700737","SAC","SAS"
"season","0021700738","CHA","IND"
"season","0021700739","MIN","ATL"
"season","0021700740","PHX","MEM"
"season","0021700741","PHI","MIL"
"season","0021700742","MIA","DAL"
"season","0021700743","BOS","DEN"
"season","0021700744","OKC","WAS"
"season","0021700745","BKN","NYK"
"season","0021700746","MIN","TOR"
"season","0021700747","CLE","DET"
"season","0021700748","ORL","HOU"
"season","0021700749","SAC","NOP"
"season","0021700750","DEN","SAS"
"season","0021700751","GSW","UTA"
"season","0021700752","POR","LAC"
"season","0021700753","MEM","IND"
"season","0021700754","LAL","ORL"
"season","0021700755","CHA","ATL"
"season","0021700756","PHI","BKN"
"season","0021700757","MIA","CLE"
"season","0021700758","NYK","BOS"
"season","0021700759","CHI","POR"
"season","0021700760","DAL","PHX"
"season","0021700761","MEM","DET"
"season","0021700762","TOR","WAS"
"season","0021700763","MIL","MIN"
"season","0021700764","HOU","SAS"
